Date_Time,Brand,Sales Rank,Market_Share,Market_Share_Percentage
01/01/2021,CigaMaTe,16631.96,1.0,100.0
01/02/2021,CigaMaTe,23104.97894736842,1.0,100.0
01/03/2021,CigaMaTe,20627.685393258427,1.0,100.0
01/04/2021,CigaMaTe,12101.472222222223,1.0,100.0
01/05/2021,CigaMaTe,17136.60185185185,1.0,100.0
01/06/2021,CigaMaTe,20667.3125,1.0,100.0
01/07/2021,CigaMaTe,11068.27536231884,1.0,100.0
01/08/2021,CigaMaTe,10878.74358974359,1.0,100.0
01/09/2021,CigaMaTe,14426.443396226416,1.0,100.0
01/10/2021,CigaMaTe,31805.38888888889,1.0,100.0
01/11/2021,CigaMaTe,36494.25,1.0,100.0
01/12/2021,CigaMaTe,36554.72549019608,1.0,100.0
01/01/2022,CigaMaTe,36456.94545454546,1.0,100.0
01/02/2022,CigaMaTe,37108.3375,1.0,100.0
01/03/2022,CigaMaTe,37684.59782608696,1.0,100.0
01/04/2022,CigaMaTe,37530.2375,1.0,100.0
01/05/2022,CigaMaTe,33094.523255813954,1.0,100.0
01/06/2022,CigaMaTe,36080.19298245614,1.0,100.0
01/07/2022,CigaMaTe,37613.61627906977,1.0,100.0
01/08/2022,CigaMaTe,36846.58888888889,1.0,100.0
01/09/2022,CigaMaTe,28168.6625,1.0,100.0
01/10/2022,CigaMaTe,40875.828571428574,1.0,100.0
01/11/2022,CigaMaTe,44419.0,1.0,100.0
01/12/2022,CigaMaTe,44531.95698924731,1.0,100.0
01/01/2023,CigaMaTe,44995.318681318684,1.0,100.0
01/02/2023,CigaMaTe,21265.97333333333,1.0,100.0
01/03/2023,CigaMaTe,4727.75,1.0,100.0
