Date_Time,Brand,Sales Rank,Market_Share,Market_Share_Percentage
01/02/2015,Diono,77432.5,1.0,100.0
01/03/2015,Diono,26469.2,1.0,100.0
01/04/2015,Diono,16282.91489361702,1.0,100.0
01/05/2015,Diono,18244.222222222223,1.0,100.0
01/06/2015,Diono,10801.75,1.0,100.0
01/07/2015,Diono,9969.420289855072,1.0,100.0
01/08/2015,Diono,11060.009523809524,1.0,100.0
01/09/2015,Diono,7095.578431372549,1.0,100.0
01/10/2015,Diono,8405.717647058824,1.0,100.0
01/11/2015,Diono,13172.414634146342,1.0,100.0
01/12/2015,Diono,19693.904761904763,1.0,100.0
01/01/2016,Diono,17503.925925925927,1.0,100.0
01/02/2016,Diono,24158.53125,1.0,100.0
01/03/2016,Diono,13662.475609756097,1.0,100.0
01/04/2016,Diono,12175.971830985916,1.0,100.0
01/05/2016,Diono,9260.543859649122,1.0,100.0
01/06/2016,Diono,10935.254545454545,1.0,100.0
01/07/2016,Diono,8451.166666666666,1.0,100.0
01/08/2016,Diono,6366.44262295082,1.0,100.0
01/09/2016,Diono,4589.8421052631575,1.0,100.0
01/10/2016,Diono,6889.0,1.0,100.0
01/11/2016,Diono,9188.72972972973,1.0,100.0
01/12/2016,Diono,9644.952380952382,1.0,100.0
01/01/2017,Diono,6860.140625,1.0,100.0
01/02/2017,Diono,7268.085714285714,1.0,100.0
01/03/2017,Diono,8107.329113924051,1.0,100.0
01/04/2017,Diono,6916.04347826087,1.0,100.0
01/11/2017,Diono,29228.375,1.0,100.0
01/12/2017,Diono,27323.575,1.0,100.0
01/01/2018,Diono,21651.416438356166,1.0,100.0
01/02/2018,Diono,24297.386363636364,1.0,100.0
01/03/2018,Diono,23717.523255813954,1.0,100.0
01/04/2018,Diono,24403.371002132197,1.0,100.0
01/05/2018,Diono,36829.95238095238,1.0,100.0
01/06/2018,Diono,34558.180645161294,1.0,100.0
01/07/2018,Diono,34797.62100456621,1.0,100.0
01/08/2018,Diono,35824.22325581395,1.0,100.0
01/09/2018,Diono,32642.40948275862,1.0,100.0
01/10/2018,Diono,28583.166666666668,1.0,100.0
01/11/2018,Diono,33336.81122448979,1.0,100.0
01/12/2018,Diono,35500.40350877193,1.0,100.0
01/01/2019,Diono,25800.871900826445,1.0,100.0
01/02/2019,Diono,29199.368181818183,1.0,100.0
01/03/2019,Diono,19708.306049822066,1.0,100.0
01/04/2019,Diono,10130.572327044025,1.0,100.0
01/05/2019,Diono,8327.729813664597,1.0,100.0
01/06/2019,Diono,6878.975806451613,1.0,100.0
01/07/2019,Diono,4554.166666666667,1.0,100.0
01/08/2019,Diono,4956.358620689655,1.0,100.0
01/09/2019,Diono,4749.144654088051,1.0,100.0
01/10/2019,Diono,18494.59677419355,1.0,100.0
01/11/2019,Diono,35023.62857142857,1.0,100.0
01/12/2019,Diono,21358.764397905758,1.0,100.0
01/01/2020,Diono,23352.567164179105,1.0,100.0
01/02/2020,Diono,11455.072538860104,1.0,100.0
01/03/2020,Diono,17122.745762711864,1.0,100.0
01/04/2020,Diono,22151.141176470588,1.0,100.0
01/05/2020,Diono,12775.664596273293,1.0,100.0
01/06/2020,Diono,3401.656976744186,1.0,100.0
01/07/2020,Diono,7252.406779661017,1.0,100.0
01/08/2020,Diono,13451.63870967742,1.0,100.0
01/09/2020,Diono,9884.965517241379,1.0,100.0
01/10/2020,Diono,11492.424581005587,1.0,100.0
01/11/2020,Diono,11573.837078651686,1.0,100.0
01/12/2020,Diono,15411.47770700637,1.0,100.0
01/01/2021,Diono,12205.6312849162,1.0,100.0
01/02/2021,Diono,7749.884146341464,1.0,100.0
01/03/2021,Diono,8008.785714285715,1.0,100.0
01/04/2021,Diono,9702.216560509554,1.0,100.0
01/05/2021,Diono,8011.337078651685,1.0,100.0
01/06/2021,Diono,6769.6,1.0,100.0
01/07/2021,Diono,6887.253012048192,1.0,100.0
01/08/2021,Diono,7084.863905325444,1.0,100.0
01/09/2021,Diono,6409.974522292993,1.0,100.0
01/10/2021,Diono,5653.508982035928,1.0,100.0
01/11/2021,Diono,3359.5585585585586,1.0,100.0
01/12/2021,Diono,3634.469696969697,1.0,100.0
01/01/2022,Diono,4176.058139534884,1.0,100.0
01/02/2022,Diono,4405.196319018405,1.0,100.0
01/03/2022,Diono,4834.684782608696,1.0,100.0
01/04/2022,Diono,7574.631578947368,1.0,100.0
01/05/2022,Diono,5960.691780821918,1.0,100.0
01/06/2022,Diono,5412.3421052631575,1.0,100.0
01/07/2022,Diono,5694.696428571428,1.0,100.0
01/08/2022,Diono,5530.8125,1.0,100.0
01/09/2022,Diono,6514.515384615384,1.0,100.0
01/10/2022,Diono,7851.239130434783,1.0,100.0
01/11/2022,Diono,8046.299435028249,1.0,100.0
01/12/2022,Diono,8217.34090909091,1.0,100.0
01/01/2023,Diono,6493.1581920903955,1.0,100.0
01/02/2023,Diono,6959.994011976048,1.0,100.0
01/03/2023,Diono,5845.681818181818,1.0,100.0
