Date_Time,Brand,Sales Rank,Market_Share,Market_Share_Percentage
01/11/2016,MyHappyRide,1077.6818181818182,1.0,100.0
01/12/2016,MyHappyRide,320.0681818181818,1.0,100.0
01/01/2017,MyHappyRide,3533.409090909091,1.0,100.0
01/02/2017,MyHappyRide,364.3076923076923,1.0,100.0
01/03/2017,MyHappyRide,228.47368421052633,1.0,100.0
01/04/2017,MyHappyRide,138.1315789473684,1.0,100.0
01/05/2017,MyHappyRide,146.15384615384616,1.0,100.0
01/06/2017,MyHappyRide,823.2564102564103,1.0,100.0
01/07/2017,MyHappyRide,172.6969696969697,1.0,100.0
01/08/2017,MyHappyRide,128.5,1.0,100.0
01/09/2017,MyHappyRide,121.91891891891892,1.0,100.0
01/10/2017,MyHappyRide,139.275,1.0,100.0
01/11/2017,MyHappyRide,158.1764705882353,1.0,100.0
01/12/2017,MyHappyRide,217.14441416893732,1.0,100.0
01/01/2018,MyHappyRide,114.91370558375634,1.0,100.0
01/02/2018,MyHappyRide,65.40893470790378,1.0,100.0
01/03/2018,MyHappyRide,85.12144702842377,1.0,100.0
01/04/2018,MyHappyRide,60.86337209302326,1.0,100.0
01/05/2018,MyHappyRide,1282.289183222958,35.860213737159505,97.21139420046521
01/05/2018,Onco,44700.875,1.0286859973819966,2.788605799534786
01/06/2018,Onco,49668.333333333336,1.0026665458966388,0.26594543395823345
01/06/2018,MyHappyRide,132.44289044289044,376.016984054349,99.73405456604176
01/07/2018,Parenthings,21108.645833333332,4.231703686805261,1.1991284827635365
01/07/2018,MyHappyRide,257.16129032258067,347.3521784104213,98.4284159546981
01/07/2018,Onco,67959.72727272728,1.3143892417035958,0.3724555625383701
01/08/2018,MyHappyRide,113.92402464065708,705.8767593511301,98.88983787943788
01/08/2018,Onco,68386.10256410256,1.1759161336940656,0.16474002618773906
01/08/2018,Parenthings,11916.294736842105,6.748433393222377,0.9454220943743801
01/09/2018,Parenthings,4151.221757322176,35.280482189309915,1.9452064633127277
01/09/2018,Onco,33372.59872611465,4.388543621521316,0.24196447688290748
01/09/2018,MyHappyRide,82.61812297734627,1772.6994997603504,97.73864500893661
01/09/2018,Karids,108850.66666666667,1.3454865253290211,0.07418405086774096
01/10/2018,MyHappyRide,74.87007874015748,1564.1360875160435,97.30443478360972
01/10/2018,Karids,70443.79661016949,1.662417383331978,0.10341848458752242
01/10/2018,Parenthings,3004.209401709402,38.98096849241398,2.4249943062790793
01/10/2018,Onco,43584.115942028984,2.686919064468612,0.1671524255236787
01/11/2018,Karids,43194.77142857143,2.6459660094075175,0.28615570616303454
01/11/2018,Parenthings,14155.04,8.07428993377108,0.8732176186498748
01/11/2018,Onco,56816.75555555556,2.011587882246675,0.2175490346084205
01/11/2018,MyHappyRide,125.33,911.927686779917,98.62307764057867
01/12/2018,MyHappyRide,210.5888888888889,1049.651044005616,91.79580129435273
01/12/2018,Parenthings,9551.003717472118,23.14362486047794,2.0239941655429896
01/12/2018,Onco,68564.77894736842,3.2238833184000053,0.28194032119730067
01/12/2018,Karids,72169.47552447552,3.062857883777192,0.26785806130303674
01/12/2018,HerzensKind,3619.0,61.07898510036058,5.341579386361695
01/12/2018,Funbliss,66930.0,3.302627328226579,0.28882677124223777
01/01/2019,Onco,32232.18181818182,7.377517405278911,0.47410240184602254
01/01/2019,MyHappyRide,174.8434065934066,1360.036886759664,87.40023495580851
01/01/2019,Karids,138572.15044247787,1.7160265003786626,0.11027724378919183
01/01/2019,HerzensKind,3449.1083916083917,68.9434646218418,4.430523219831802
01/01/2019,Parenthings,2083.2053571428573,114.14788348081422,7.335500921376409
01/01/2019,Funbliss,61281.99295774648,3.8803157485055655,0.24936125734804493
01/02/2019,Karids,66205.62676056338,2.6966279405525655,0.31918581933096074
01/02/2019,HerzensKind,2365.114285714286,75.4855458878646,8.934831331209086
01/02/2019,Parenthings,10464.076452599389,17.06141423498302,2.019470836018291
01/02/2019,Funbliss,34695.31707317073,5.145707202151077,0.6090705894782303
01/02/2019,MyHappyRide,240.7092731829574,741.6911720249014,87.79012516824955
01/02/2019,Onco,64561.0990990991,2.7653175896260587,0.3273162557138852
01/03/2019,Parenthings,9831.485714285714,22.13091790498257,1.9121884888451568
01/03/2019,Onco,59351.27272727273,3.665966932616175,0.3167523280838432
01/03/2019,MyHappyRide,213.86131386861314,1017.3873866712397,87.90581835970772
01/03/2019,Karids,95629.9268292683,2.2752271223141207,0.19658755825115787
01/03/2019,HerzensKind,2022.204918032787,107.59532888414148,9.296611655653159
01/03/2019,Funbliss,50531.05172413793,4.305863341509107,0.3720416094589702
01/04/2019,Parenthings,16118.540697674418,23.713501577481612,1.1188112469775917
01/04/2019,Onco,70616.65714285715,5.412703683888072,0.2553732412020337
01/04/2019,Funbliss,262926.847826087,1.4537391043223855,0.06858791624563387
01/04/2019,HerzensKind,1276.8528138528138,299.35090099199493,14.123479559878978
01/04/2019,MyHappyRide,215.06113537117903,1777.2948124788295,83.85338702085598
01/04/2019,Karids,31073.08064516129,12.30090587495464,0.5803610148397814
01/05/2019,Funbliss,301317.6172839506,1.2093952084080155,0.043412961347720845
01/05/2019,HerzensKind,1108.490410958904,328.74626514531053,11.800814822763908
01/05/2019,Karids,10494.626712328767,34.72368217957004,1.246455965619837
01/05/2019,MyHappyRide,152.30578512396696,2392.634542775394,85.88702039051462
01/05/2019,Onco,27083.863636363636,13.454951902167279,0.48298463794406393
01/05/2019,Parenthings,24255.178723404257,15.024093893833168,0.5393112218098526
01/06/2019,HerzensKind,663.5436046511628,564.9528200546509,15.192711786642485
01/06/2019,Parenthings,25135.91402714932,14.913753694097002,0.401060678853629
01/06/2019,Onco,29791.408163265307,12.583186018683815,0.3383870506586361
01/06/2019,MyHappyRide,128.4506172839506,2918.4042755374244,78.48173061753396
01/06/2019,Funbliss,311845.3417721519,1.2021049554455112,0.03232700763156055
01/06/2019,Karids,3941.422492401216,95.1105422977687,2.5577127960198296
01/06/2019,MAPALOU,3364.75,111.4111986557405,2.996070062659919
01/07/2019,MAPALOU,1083.6089965397923,388.1008610811006,9.334068687570014
01/07/2019,Karids,49647.81751824817,8.470656025871564,0.20372458065157922
01/07/2019,HerzensKind,734.6223776223776,572.4704248643218,13.768272124934434
